人名,出现次数
叶文洁,392
杨卫宁,77
王星,73
汪淼,63
伊文斯,51
秦始皇,47
希恩斯,41
杨晋文,30
上帝,28
叶哲泰,27
张援,27
沙瑞山,25
-----------,20
杨冬,20
王,20
艾伦,20
冯?诺伊曼,19
王子,19
乔纳森,18
赵鑫,17
杨母,15
吴岳,15
星云,15
汪,14
丁仪,14
叶,13
麦田,13
奥尔特星云,13
罗辑史,12
雷迪亚兹,12
雷,11
章北海,11
李维,11
罗辑站,10
艾AA,10
赫尔辛根默斯,10
薄片,9
雷达峰,9
罗辑,9
史晓明,9
程心AA,9
章,8
银河系,8
冥王星,8
罗塞塔,8
张,7
申玉菲,7
波段,7
徐冰冰,7
张纸,7
林子,7
罗,7
斐兹,7
王位,7
瓦季姆,7
洛文斯基,7
雷政委,6
罗将军,6
张翔,6
希恩斯山,6
王星海,6
罗宾逊,6
柯伊伯,6
饕,6
汪淼站,5
径直,5
杨,5
萨,5
苏醒室,5
郭警官,5
林格斐,5
井上明,5
王国,5
周文王,4
叶文雪,4
杨总,4
孔子,4
福尔摩斯,4
麦克,4
萨伊,4
蒙娜丽莎,4
林格,4
黄道面,4
丁老,4
柯曼琳,4
韦斯特,4
黄灯亮,4
王国海,4
饕餮,4
曹彬,4
魏成,3
汪淼心,3
杀虫剂,3
沙沙声,3
汪淼点,3
虫子,3
吴岳章,3
贾维彬,3
柯,3
罗老弟,3
吴岳点,3
靴子,3
罗辑床,3
吴岳说,3
罗辑车,3
张卫明,3
张延,3
剥离,3
郭正明,3
----------,3
奥斯曼,3
张医生,3
乔依娜,3
克隆,3
戴文,3
穆罕默德,3
------------,2
巴领带,2
科学界,2
杨冬总,2
霹雳,2
杨冬遗,2
菲电话,2
李瑶,2
张大嘴,2
王长夜,2
王汪淼,2
马钢,2
程丽华,2
汪淼听,2
潘寒说,2
冯诺,2
诺伊曼,2
安全带,2
刘海,2
英姿,2
井冈山,2
钟缓,2
王八蛋,2
泥土,2
吴岳心,2
吴岳站,2
扁,2
雷德尔,2
张援猛,2
张叔,2
吴岳露,2
歼击机,2
莎士比亚,2
丛,2
罗辑点,2
萤火虫,2
罗辑心,2
左下角,2
罗辑庄,2
庄颜说,2
斐兹罗,2
林格站,2
羸弱,2
梁,2
达尔文,2
林格不解,2
杉惠子,2
吴岳摇,2
伊伯,2
李维发,2
希恩斯乔纳森,2
李安乐,2
姆程心,2
尼尔?斯科特,2
罗辑威,2
Perimeter,2
毕云峰,2
万,2
艾克,2
刘晓明,2
舰尾舰,2
暖暖的,2
迪杰,2
里程心,2
简洁长,2
王母,2
王全,2
肖像,2
王先画,2
张床,2
王宫,2
王针眼,2
王深水,2
鸣叫声,2
恋恋不舍,2
辛根山,2
张望,2
威纳尔,2
千千米,2
王星群,2
布莱尔,2
阿拉斯,2
亨特号,2
史眼色,1
汪淼史,1
罗非鱼,1
戴罪立功,1
顾不了,1
张纸号,1
黄指头,1
汪淼问,1
钱钟书,1
钟书性,1
谢绝汪,1
安排车,1
汪淼家,1
陈设宽,1
杨冬丁仪,1
汪淼台,1
张道,1
汪淼莱卡,1
柯达,1
菲富有,1
陈设会,1
汪淼楼,1
魏成人,1
菲潘寒,1
汪院士,1
汪淼猛,1
汪淼盯,1
辛苦汪,1
杨冬路,1
3ttzlmesdmhtm,1
汪淼拨,1
曙光冷,1
王那人,1
王战国,1
周文,1
王放,1
王介绍,1
王不算,1
王姬昌,1
王说道,1
王解释,1
王充满,1
王没错,1
王坐,1
王走,1
王位于,1
黑衣人,1
王挥,1
王大鼎,1
王宇宙,1
王朝献,1
昌急,1
王说,1
王阴阳,1
王点点,1
王深鞠,1
王朝,1
王示意,1
王宫殿,1
王跪纣,1
王端,1
王叹口,1
汪淼三,1
汤,1
王无力,1
薄透明,1
张床铺,1
杨冬母,1
黄伸手,1
杨母门口,1
杨冬三,1
杨冬画,1
杨母汪,1
吴健雄,1
-10,1
张杨,1
巡天,1
牛鬼蛇神,1
戴高帽子,1
高帽,1
琳蒙蔽,1
-12,1
曹谷冰路,1
叶哲,1
子力学,1
琳吃惊恐惧,1
波函数,1
胡说绍,1
抡皮带,1
13,1
林海化,1
叶使,1
叶歇歇,1
坐沉默,1
叶齐膝,1
林鸟,1
-14,1
林海说,1
林海,1
天线缓,1
霖,1
小叶,1
灭监室,1
叶交个,1
子弹性,1
叶判,1
钟摆,1
戴红,1
大兴,1
安岭风,1
张天网,1
迈进门,1
张桌,1
善笑,1
盯曲线,1
费口舌,1
汪淼手,1
叶夜风,1
俄式,1
王府井,1
罗马式,1
常唱,1
东单,1
马行空,1
杨冬号,1
金字塔,1
汪淼猜,1
阿兹特克式,1
王时,1
王理论,1
汪淼郑,1
遮盖化,1
汪淼夜,1
杨母摇,1
杨母轻,1
