Person1,Person2,relationships
吴岳,雷德尔,5141400
吴岳,琼斯,3598980
吴岳,杨晋文,9254520
吴岳,智子,48329160
吴岳,贾维彬,1542420
吴岳,丁仪,45244320
吴岳,苗福全,8226240
吴岳,周文王,5141400
吴岳,常伟思,25192860
吴岳,史晓明,14395920
吴岳,牛顿,7712100
吴岳,秦始皇,12339360
吴岳,罗辑,540875280
吴岳,史强,95115900
吴岳,7,2570700
吴岳,白蓉,10282800
吴岳,坎特,39074640
吴岳,萨伊,18509040
吴岳,伽尔宁,16966620
吴岳,孔子,1028280
吴岳,爱因斯坦,4627260
吴岳,艾伦,10796940
吴岳,庄颜,53984700
吴岳,张翔,5141400
吴岳,J,514140
吴岳,张卫明,1542420
吴岳,张延,2570700
吴岳,威尔逊,1542420
吴岳,熊文,5141400
吴岳,郭正明,1542420
吴岳,A,1028280
吴岳,罗宾逊,3598980
吴岳,列文,3084840
吴岳,西子,14910060
吴岳,赵鑫,10796940
吴岳,李维,9768660
吴岳,蓝西,13881780
吴岳,斯科特,4627260
吴岳,杨冬,8226240
吴岳,胡文,8226240
吴岳,程心,98714880
吴岳,柯曼琳,5141400
吴岳,于维民,1028280
吴岳,乔依娜,1542420
雷德尔,吴岳,5141400
雷德尔,琼斯,654360
雷德尔,杨晋文,1682640
雷德尔,智子,8787120
雷德尔,贾维彬,280440
雷德尔,丁仪,8226240
雷德尔,苗福全,1495680
雷德尔,周文王,934800
雷德尔,常伟思,4580520
雷德尔,史晓明,2617440
雷德尔,牛顿,1402200
雷德尔,秦始皇,2243520
雷德尔,罗辑,98340960
雷德尔,史强,17293800
雷德尔,7,467400
雷德尔,白蓉,1869600
雷德尔,坎特,7104480
雷德尔,萨伊,3365280
雷德尔,伽尔宁,3084840
雷德尔,孔子,186960
雷德尔,爱因斯坦,841320
雷德尔,艾伦,1963080
雷德尔,庄颜,9815400
雷德尔,张翔,934800
雷德尔,J,93480
雷德尔,张卫明,280440
雷德尔,张延,467400
雷德尔,威尔逊,280440
雷德尔,熊文,934800
雷德尔,郭正明,280440
雷德尔,A,186960
雷德尔,罗宾逊,654360
雷德尔,列文,560880
雷德尔,西子,2710920
雷德尔,赵鑫,1963080
雷德尔,李维,1776120
雷德尔,蓝西,2523960
雷德尔,斯科特,841320
雷德尔,杨冬,1495680
雷德尔,胡文,1495680
雷德尔,程心,17948160
雷德尔,柯曼琳,934800
雷德尔,于维民,186960
雷德尔,乔依娜,280440
琼斯,吴岳,3598980
琼斯,雷德尔,654360
琼斯,杨晋文,1177848
琼斯,智子,6150984
琼斯,贾维彬,196308
琼斯,丁仪,5758368
琼斯,苗福全,1046976
琼斯,周文王,654360
琼斯,常伟思,3206364
琼斯,史晓明,1832208
琼斯,牛顿,981540
琼斯,秦始皇,1570464
琼斯,罗辑,68838672
琼斯,史强,12105660
琼斯,7,327180
琼斯,白蓉,1308720
琼斯,坎特,4973136
琼斯,萨伊,2355696
琼斯,伽尔宁,2159388
琼斯,孔子,130872
琼斯,爱因斯坦,588924
琼斯,艾伦,1374156
琼斯,庄颜,6870780
琼斯,张翔,654360
琼斯,J,65436
琼斯,张卫明,196308
琼斯,张延,327180
琼斯,威尔逊,196308
琼斯,熊文,654360
琼斯,郭正明,196308
琼斯,A,130872
琼斯,罗宾逊,458052
琼斯,列文,392616
琼斯,西子,1897644
琼斯,赵鑫,1374156
琼斯,李维,1243284
琼斯,蓝西,1766772
琼斯,斯科特,588924
琼斯,杨冬,1046976
琼斯,胡文,1046976
琼斯,程心,12563712
琼斯,柯曼琳,654360
琼斯,于维民,130872
琼斯,乔依娜,196308
杨晋文,吴岳,9254520
杨晋文,雷德尔,1682640
杨晋文,琼斯,1177848
杨晋文,智子,15816816
杨晋文,贾维彬,504792
杨晋文,丁仪,14807232
杨晋文,苗福全,2692224
杨晋文,周文王,1682640
杨晋文,常伟思,8244936
杨晋文,史晓明,4711392
杨晋文,牛顿,2523960
杨晋文,秦始皇,4038336
杨晋文,罗辑,177013728
杨晋文,史强,31128840
杨晋文,7,841320
杨晋文,白蓉,3365280
杨晋文,坎特,12788064
杨晋文,萨伊,6057504
杨晋文,伽尔宁,5552712
杨晋文,孔子,336528
杨晋文,爱因斯坦,1514376
杨晋文,艾伦,3533544
杨晋文,庄颜,17667720
杨晋文,张翔,1682640
杨晋文,J,168264
杨晋文,张卫明,504792
杨晋文,张延,841320
杨晋文,威尔逊,504792
杨晋文,熊文,1682640
杨晋文,郭正明,504792
杨晋文,A,336528
杨晋文,罗宾逊,1177848
杨晋文,列文,1009584
杨晋文,西子,4879656
杨晋文,赵鑫,3533544
杨晋文,李维,3197016
杨晋文,蓝西,4543128
杨晋文,斯科特,1514376
杨晋文,杨冬,2692224
杨晋文,胡文,2692224
杨晋文,程心,32306688
杨晋文,柯曼琳,1682640
杨晋文,于维民,336528
杨晋文,乔依娜,504792
智子,吴岳,48329160
智子,雷德尔,8787120
智子,琼斯,6150984
智子,杨晋文,15816816
智子,贾维彬,2636136
智子,丁仪,77326656
智子,苗福全,14059392
智子,周文王,8787120
智子,常伟思,43056888
智子,史晓明,24603936
智子,牛顿,13180680
智子,秦始皇,21089088
智子,罗辑,924405024
智子,史强,162561720
智子,7,4393560
智子,白蓉,17574240
智子,坎特,66782112
智子,萨伊,31633632
智子,伽尔宁,28997496
智子,孔子,1757424
智子,爱因斯坦,7908408
智子,艾伦,18452952
智子,庄颜,92264760
智子,张翔,8787120
智子,J,878712
智子,张卫明,2636136
智子,张延,4393560
智子,威尔逊,2636136
智子,熊文,8787120
智子,郭正明,2636136
智子,A,1757424
智子,罗宾逊,6150984
智子,列文,5272272
智子,西子,25482648
智子,赵鑫,18452952
智子,李维,16695528
智子,蓝西,23725224
智子,斯科特,7908408
智子,杨冬,14059392
智子,胡文,14059392
智子,程心,168712704
智子,柯曼琳,8787120
智子,于维民,1757424
智子,乔依娜,2636136
贾维彬,吴岳,1542420
贾维彬,雷德尔,280440
贾维彬,琼斯,196308
贾维彬,杨晋文,504792
贾维彬,智子,2636136
贾维彬,丁仪,2467872
贾维彬,苗福全,448704
贾维彬,周文王,280440
贾维彬,常伟思,1374156
贾维彬,史晓明,785232
贾维彬,牛顿,420660
贾维彬,秦始皇,673056
贾维彬,罗辑,29502288
贾维彬,史强,5188140
贾维彬,7,140220
贾维彬,白蓉,560880
贾维彬,坎特,2131344
贾维彬,萨伊,1009584
贾维彬,伽尔宁,925452
贾维彬,孔子,56088
贾维彬,爱因斯坦,252396
贾维彬,艾伦,588924
贾维彬,庄颜,2944620
贾维彬,张翔,280440
贾维彬,J,28044
贾维彬,张卫明,84132
贾维彬,张延,140220
贾维彬,威尔逊,84132
贾维彬,熊文,280440
贾维彬,郭正明,84132
贾维彬,A,56088
贾维彬,罗宾逊,196308
贾维彬,列文,168264
贾维彬,西子,813276
贾维彬,赵鑫,588924
贾维彬,李维,532836
贾维彬,蓝西,757188
贾维彬,斯科特,252396
贾维彬,杨冬,448704
贾维彬,胡文,448704
贾维彬,程心,5384448
贾维彬,柯曼琳,280440
贾维彬,于维民,56088
贾维彬,乔依娜,84132
丁仪,吴岳,45244320
丁仪,雷德尔,8226240
丁仪,琼斯,5758368
