Person1,Person2,relationships
程心,智子,12017238
程心,罗辑,289572
程心,弗雷斯,3619650
程心,毕云峰,144786
程心,曹彬,144786
程心,牛顿,289572
程心,戴文,723930
程心,韦斯特,1592646
程心,关一帆,6081012
程心,朴义君,723930
程心,褚岩,723930
程心,艾克,144786
程心,卓文,868716
程心,7,1013502
智子,程心,12017238
智子,罗辑,203682
智子,弗雷斯,2546025
智子,毕云峰,101841
智子,曹彬,101841
智子,牛顿,203682
智子,戴文,509205
智子,韦斯特,1120251
智子,关一帆,4277322
智子,朴义君,509205
智子,褚岩,509205
智子,艾克,101841
智子,卓文,611046
智子,7,712887
罗辑,程心,289572
罗辑,智子,203682
罗辑,弗雷斯,61350
罗辑,毕云峰,2454
罗辑,曹彬,2454
罗辑,牛顿,4908
罗辑,戴文,12270
罗辑,韦斯特,26994
罗辑,关一帆,103068
罗辑,朴义君,12270
罗辑,褚岩,12270
罗辑,艾克,2454
罗辑,卓文,14724
罗辑,7,17178
弗雷斯,程心,3619650
弗雷斯,智子,2546025
弗雷斯,罗辑,61350
弗雷斯,毕云峰,30675
弗雷斯,曹彬,30675
弗雷斯,牛顿,61350
弗雷斯,戴文,153375
弗雷斯,韦斯特,337425
弗雷斯,关一帆,1288350
弗雷斯,朴义君,153375
弗雷斯,褚岩,153375
弗雷斯,艾克,30675
弗雷斯,卓文,184050
弗雷斯,7,214725
毕云峰,程心,144786
毕云峰,智子,101841
毕云峰,罗辑,2454
毕云峰,弗雷斯,30675
毕云峰,曹彬,1227
毕云峰,牛顿,2454
毕云峰,戴文,6135
毕云峰,韦斯特,13497
毕云峰,关一帆,51534
毕云峰,朴义君,6135
毕云峰,褚岩,6135
毕云峰,艾克,1227
毕云峰,卓文,7362
毕云峰,7,8589
曹彬,程心,144786
曹彬,智子,101841
曹彬,罗辑,2454
曹彬,弗雷斯,30675
曹彬,毕云峰,1227
曹彬,牛顿,2454
曹彬,戴文,6135
曹彬,韦斯特,13497
曹彬,关一帆,51534
曹彬,朴义君,6135
曹彬,褚岩,6135
曹彬,艾克,1227
曹彬,卓文,7362
曹彬,7,8589
牛顿,程心,289572
牛顿,智子,203682
牛顿,罗辑,4908
牛顿,弗雷斯,61350
牛顿,毕云峰,2454
牛顿,曹彬,2454
牛顿,戴文,12270
牛顿,韦斯特,26994
牛顿,关一帆,103068
牛顿,朴义君,12270
牛顿,褚岩,12270
牛顿,艾克,2454
牛顿,卓文,14724
牛顿,7,17178
戴文,程心,723930
戴文,智子,509205
戴文,罗辑,12270
戴文,弗雷斯,153375
戴文,毕云峰,6135
戴文,曹彬,6135
戴文,牛顿,12270
戴文,韦斯特,67485
戴文,关一帆,257670
戴文,朴义君,30675
戴文,褚岩,30675
戴文,艾克,6135
戴文,卓文,36810
戴文,7,42945
韦斯特,程心,1592646
韦斯特,智子,1120251
韦斯特,罗辑,26994
韦斯特,弗雷斯,337425
韦斯特,毕云峰,13497
韦斯特,曹彬,13497
韦斯特,牛顿,26994
韦斯特,戴文,67485
韦斯特,关一帆,566874
韦斯特,朴义君,67485
韦斯特,褚岩,67485
韦斯特,艾克,13497
韦斯特,卓文,80982
韦斯特,7,94479
关一帆,程心,6081012
关一帆,智子,4277322
关一帆,罗辑,103068
关一帆,弗雷斯,1288350
关一帆,毕云峰,51534
关一帆,曹彬,51534
关一帆,牛顿,103068
关一帆,戴文,257670
关一帆,韦斯特,566874
关一帆,朴义君,257670
关一帆,褚岩,257670
关一帆,艾克,51534
关一帆,卓文,309204
关一帆,7,360738
朴义君,程心,723930
朴义君,智子,509205
朴义君,罗辑,12270
朴义君,弗雷斯,153375
朴义君,毕云峰,6135
朴义君,曹彬,6135
朴义君,牛顿,12270
朴义君,戴文,30675
朴义君,韦斯特,67485
朴义君,关一帆,257670
朴义君,褚岩,30675
朴义君,艾克,6135
朴义君,卓文,36810
朴义君,7,42945
褚岩,程心,723930
褚岩,智子,509205
褚岩,罗辑,12270
褚岩,弗雷斯,153375
褚岩,毕云峰,6135
褚岩,曹彬,6135
褚岩,牛顿,12270
褚岩,戴文,30675
褚岩,韦斯特,67485
褚岩,关一帆,257670
褚岩,朴义君,30675
褚岩,艾克,6135
褚岩,卓文,36810
褚岩,7,42945
艾克,程心,144786
艾克,智子,101841
艾克,罗辑,2454
艾克,弗雷斯,30675
艾克,毕云峰,1227
艾克,曹彬,1227
艾克,牛顿,2454
艾克,戴文,6135
艾克,韦斯特,13497
艾克,关一帆,51534
艾克,朴义君,6135
艾克,褚岩,6135
艾克,卓文,7362
艾克,7,8589
卓文,程心,868716
卓文,智子,611046
卓文,罗辑,14724
卓文,弗雷斯,184050
卓文,毕云峰,7362
卓文,曹彬,7362
卓文,牛顿,14724
卓文,戴文,36810
卓文,韦斯特,80982
卓文,关一帆,309204
卓文,朴义君,36810
卓文,褚岩,36810
卓文,艾克,7362
卓文,7,51534
7,程心,1013502
7,智子,712887
7,罗辑,17178
7,弗雷斯,214725
7,毕云峰,8589
7,曹彬,8589
7,牛顿,17178
7,戴文,42945
7,韦斯特,94479
7,关一帆,360738
7,朴义君,42945
7,褚岩,42945
7,艾克,8589
7,卓文,51534
