Person1,Person2,relationships
智子,斯科特,683550
智子,A,341775
智子,I,292950
智子,琼斯,97650
智子,程心,6444900
智子,罗辑,2392425
智子,7,97650
智子,毕云峰,97650
智子,曹彬,48825
智子,丁仪,48825
智子,伊万,244125
智子,J,48825
智子,韦斯特,830025
智子,戴文,244125
智子,朴义君,97650
智子,艾克,976500
智子,刘晓明,97650
智子,关一帆,976500
智子,庄颜,244125
智子,爱因斯坦,48825
斯科特,智子,683550
斯科特,A,106330
斯科特,I,91140
斯科特,琼斯,30380
斯科特,程心,2005080
斯科特,罗辑,744310
斯科特,7,30380
斯科特,毕云峰,30380
斯科特,曹彬,15190
斯科特,丁仪,15190
斯科特,伊万,75950
斯科特,J,15190
斯科特,韦斯特,258230
斯科特,戴文,75950
斯科特,朴义君,30380
斯科特,艾克,303800
斯科特,刘晓明,30380
斯科特,关一帆,303800
斯科特,庄颜,75950
斯科特,爱因斯坦,15190
A,智子,341775
A,斯科特,106330
A,I,45570
A,琼斯,15190
A,程心,1002540
A,罗辑,372155
A,7,15190
A,毕云峰,15190
A,曹彬,7595
A,丁仪,7595
A,伊万,37975
A,J,7595
A,韦斯特,129115
A,戴文,37975
A,朴义君,15190
A,艾克,151900
A,刘晓明,15190
A,关一帆,151900
A,庄颜,37975
A,爱因斯坦,7595
I,智子,292950
I,斯科特,91140
I,A,45570
I,琼斯,13020
I,程心,859320
I,罗辑,318990
I,7,13020
I,毕云峰,13020
I,曹彬,6510
I,丁仪,6510
I,伊万,32550
I,J,6510
I,韦斯特,110670
I,戴文,32550
I,朴义君,13020
I,艾克,130200
I,刘晓明,13020
I,关一帆,130200
I,庄颜,32550
I,爱因斯坦,6510
琼斯,智子,97650
琼斯,斯科特,30380
琼斯,A,15190
琼斯,I,13020
琼斯,程心,286440
琼斯,罗辑,106330
琼斯,7,4340
琼斯,毕云峰,4340
琼斯,曹彬,2170
琼斯,丁仪,2170
琼斯,伊万,10850
琼斯,J,2170
琼斯,韦斯特,36890
琼斯,戴文,10850
琼斯,朴义君,4340
琼斯,艾克,43400
琼斯,刘晓明,4340
琼斯,关一帆,43400
琼斯,庄颜,10850
琼斯,爱因斯坦,2170
程心,智子,6444900
程心,斯科特,2005080
程心,A,1002540
程心,I,859320
程心,琼斯,286440
程心,罗辑,7017780
程心,7,286440
程心,毕云峰,286440
程心,曹彬,143220
程心,丁仪,143220
程心,伊万,716100
程心,J,143220
程心,韦斯特,2434740
程心,戴文,716100
程心,朴义君,286440
程心,艾克,2864400
程心,刘晓明,286440
程心,关一帆,2864400
程心,庄颜,716100
程心,爱因斯坦,143220
罗辑,智子,2392425
罗辑,斯科特,744310
罗辑,A,372155
罗辑,I,318990
罗辑,琼斯,106330
罗辑,程心,7017780
罗辑,7,106330
罗辑,毕云峰,106330
罗辑,曹彬,53165
罗辑,丁仪,53165
罗辑,伊万,265825
罗辑,J,53165
罗辑,韦斯特,903805
罗辑,戴文,265825
罗辑,朴义君,106330
罗辑,艾克,1063300
罗辑,刘晓明,106330
罗辑,关一帆,1063300
罗辑,庄颜,265825
罗辑,爱因斯坦,53165
7,智子,97650
7,斯科特,30380
7,A,15190
7,I,13020
7,琼斯,4340
7,程心,286440
7,罗辑,106330
7,毕云峰,4340
7,曹彬,2170
7,丁仪,2170
7,伊万,10850
7,J,2170
7,韦斯特,36890
7,戴文,10850
7,朴义君,4340
7,艾克,43400
7,刘晓明,4340
7,关一帆,43400
7,庄颜,10850
7,爱因斯坦,2170
毕云峰,智子,97650
毕云峰,斯科特,30380
毕云峰,A,15190
毕云峰,I,13020
毕云峰,琼斯,4340
毕云峰,程心,286440
毕云峰,罗辑,106330
毕云峰,7,4340
毕云峰,曹彬,2170
毕云峰,丁仪,2170
毕云峰,伊万,10850
毕云峰,J,2170
毕云峰,韦斯特,36890
毕云峰,戴文,10850
毕云峰,朴义君,4340
毕云峰,艾克,43400
毕云峰,刘晓明,4340
毕云峰,关一帆,43400
毕云峰,庄颜,10850
毕云峰,爱因斯坦,2170
曹彬,智子,48825
曹彬,斯科特,15190
曹彬,A,7595
曹彬,I,6510
