Person1,Person2,relationships
7,程心,15081300
7,罗辑,1113696
7,弗雷斯,556848
7,智子,4547592
7,毕云峰,371232
7,A,185616
7,I,139212
7,曹彬,417636
7,巴勒莫,371232
7,杰森,742464
7,威纳尔,556848
程心,7,15081300
程心,罗辑,20108400
程心,弗雷斯,10054200
程心,智子,82109300
程心,毕云峰,6702800
程心,A,3351400
程心,I,2513550
程心,曹彬,7540650
程心,巴勒莫,6702800
程心,杰森,13405600
程心,威纳尔,10054200
罗辑,7,1113696
罗辑,程心,20108400
罗辑,弗雷斯,742464
罗辑,智子,6063456
罗辑,毕云峰,494976
罗辑,A,247488
罗辑,I,185616
罗辑,曹彬,556848
罗辑,巴勒莫,494976
罗辑,杰森,989952
罗辑,威纳尔,742464
弗雷斯,7,556848
弗雷斯,程心,10054200
弗雷斯,罗辑,742464
弗雷斯,智子,3031728
弗雷斯,毕云峰,247488
弗雷斯,A,123744
弗雷斯,I,92808
弗雷斯,曹彬,278424
弗雷斯,巴勒莫,247488
弗雷斯,杰森,494976
弗雷斯,威纳尔,371232
智子,7,4547592
智子,程心,82109300
智子,罗辑,6063456
智子,弗雷斯,3031728
智子,毕云峰,2021152
智子,A,1010576
智子,I,757932
智子,曹彬,2273796
智子,巴勒莫,2021152
智子,杰森,4042304
智子,威纳尔,3031728
毕云峰,7,371232
毕云峰,程心,6702800
毕云峰,罗辑,494976
毕云峰,弗雷斯,247488
毕云峰,智子,2021152
毕云峰,A,82496
毕云峰,I,61872
毕云峰,曹彬,185616
毕云峰,巴勒莫,164992
毕云峰,杰森,329984
毕云峰,威纳尔,247488
A,7,185616
A,程心,3351400
A,罗辑,247488
A,弗雷斯,123744
A,智子,1010576
A,毕云峰,82496
A,I,30936
A,曹彬,92808
A,巴勒莫,82496
A,杰森,164992
A,威纳尔,123744
I,7,139212
I,程心,2513550
I,罗辑,185616
I,弗雷斯,92808
I,智子,757932
I,毕云峰,61872
I,A,30936
I,曹彬,69606
I,巴勒莫,61872
I,杰森,123744
I,威纳尔,92808
曹彬,7,417636
曹彬,程心,7540650
曹彬,罗辑,556848
曹彬,弗雷斯,278424
曹彬,智子,2273796
曹彬,毕云峰,185616
曹彬,A,92808
曹彬,I,69606
曹彬,巴勒莫,185616
曹彬,杰森,371232
曹彬,威纳尔,278424
巴勒莫,7,371232
巴勒莫,程心,6702800
巴勒莫,罗辑,494976
巴勒莫,弗雷斯,247488
巴勒莫,智子,2021152
巴勒莫,毕云峰,164992
巴勒莫,A,82496
巴勒莫,I,61872
巴勒莫,曹彬,185616
巴勒莫,杰森,329984
巴勒莫,威纳尔,247488
杰森,7,742464
杰森,程心,13405600
杰森,罗辑,989952
杰森,弗雷斯,494976
杰森,智子,4042304
杰森,毕云峰,329984
杰森,A,164992
杰森,I,123744
杰森,曹彬,371232
杰森,巴勒莫,329984
杰森,威纳尔,494976
威纳尔,7,556848
威纳尔,程心,10054200
威纳尔,罗辑,742464
威纳尔,弗雷斯,371232
威纳尔,智子,3031728
威纳尔,毕云峰,247488
威纳尔,A,123744
威纳尔,I,92808
威纳尔,曹彬,278424
威纳尔,巴勒莫,247488
威纳尔,杰森,494976
