Person1,Person2,relationships
史强,常伟思,5408370
史强,杨冬,6309765
史强,丁仪,9374508
史强,申玉菲,8292834
史强,爱因斯坦,3245022
史强,A,721116
史强,豆豆,540837
史强,魏成,5408370
史强,潘寒,8473113
史强,李瑶,360558
史强,周文王,8473113
史强,纣王,4326696
史强,伏羲,1261953
史强,沙瑞山,4146417
史强,叶哲泰,4687254
史强,绍琳,3605580
史强,白沐霖,5228091
史强,马钢,901395
史强,程丽华,1622511
史强,叶文雪,721116
史强,杨卫宁,13340646
史强,7,1442232
史强,威尔逊,180279
史强,孔子,540837
史强,牛顿,5408370
史强,秦始皇,6490044
史强,拉菲尔,180279
史强,大凤,1622511
史强,唐红静,180279
史强,智子,14782878
史强,罗辑,721116
常伟思,史强,5408370
常伟思,杨冬,5736150
常伟思,丁仪,8522280
常伟思,申玉菲,7538940
常伟思,爱因斯坦,2950020
常伟思,A,655560
常伟思,豆豆,491670
常伟思,魏成,4916700
常伟思,潘寒,7702830
常伟思,李瑶,327780
常伟思,周文王,7702830
常伟思,纣王,3933360
常伟思,伏羲,1147230
常伟思,沙瑞山,3769470
常伟思,叶哲泰,4261140
常伟思,绍琳,3277800
常伟思,白沐霖,4752810
常伟思,马钢,819450
常伟思,程丽华,1475010
常伟思,叶文雪,655560
常伟思,杨卫宁,12127860
常伟思,7,1311120
常伟思,威尔逊,163890
常伟思,孔子,491670
常伟思,牛顿,4916700
常伟思,秦始皇,5900040
常伟思,拉菲尔,163890
常伟思,大凤,1475010
常伟思,唐红静,163890
常伟思,智子,13438980
常伟思,罗辑,655560
杨冬,史强,6309765
杨冬,常伟思,5736150
杨冬,丁仪,9942660
杨冬,申玉菲,8795430
杨冬,爱因斯坦,3441690
杨冬,A,764820
杨冬,豆豆,573615
杨冬,魏成,5736150
杨冬,潘寒,8986635
杨冬,李瑶,382410
杨冬,周文王,8986635
杨冬,纣王,4588920
杨冬,伏羲,1338435
杨冬,沙瑞山,4397715
杨冬,叶哲泰,4971330
杨冬,绍琳,3824100
杨冬,白沐霖,5544945
杨冬,马钢,956025
杨冬,程丽华,1720845
