Person1,Person2,realtionships
雷德尔,琼斯,1.724453409
琼斯,雷德尔,1.724453409
杨晋文,智子,1.021650209
杨晋文,苗福全,3.65475061
杨晋文,1379号监听员,0.996895382
智子,杨晋文,1.021650209
智子,贾维彬,0.985005415
智子,周文王,0.313849138
智子,丁仪,1.999989658
智子,庄颜,2.994264764
智子,罗辑,3.481043926
智子,杨冬,0.999999998
智子,苗福全,0.017749661
智子,牛顿,0.452131309
智子,秦始皇,0.452131309
智子,1379号监听员,0.828414262
贾维彬,智子,0.985005415
苗福全,杨晋文,3.65475061
苗福全,智子,0.017749661
周文王,牛顿,3.189914521
周文王,智子,0.313849138
周文王,秦始皇,0.952152655
周文王,孔子,0.952152655
周文王,爱因斯坦,0.952152655
牛顿,周文王,3.189914521
牛顿,秦始皇,1.404283964
牛顿,孔子,0.952152655
牛顿,爱因斯坦,0.952152655
牛顿,智子,0.452131309
罗辑,1379号监听员,3.929966368
罗辑,史强,52.91683276
罗辑,吴岳,1.310532699
罗辑,白蓉,9.775893023
罗辑,坎特,15.63141876
罗辑,萨伊,14.83741061
罗辑,艾AA,0.358072046
罗辑,伽尔宁,5.706649128
罗辑,庄颜,50.85476341
罗辑,智子,3.481043926
罗辑,张翔,1.527507996
罗辑,爱因斯坦,0.998966439
罗辑,A·J·霍普金斯,0.638676513
罗辑,秦始皇,0.423477282
罗辑,熊文,6.383695962
罗辑,史晓明,2.789457473
罗辑,杨冬,0.99807784
1379号监听员,罗辑,3.929966368
1379号监听员,杨晋文,0.996895382
1379号监听员,A·J·霍普金斯,8.170081778
1379号监听员,赵鑫,0.344330108
1379号监听员,智子,0.828414262
1379号监听员,萨伊,0.999990657
1379号监听员,程心,0.999990657
史强,罗辑,52.91683276
史强,坎特,8.503391201
史强,史晓明,1.950044078
史强,庄颜,1.953949125
史强,张翔,0.798689693
史强,郭正明,0.767292419
吴岳,罗辑,1.310532699
吴岳,常伟思,0.654712119
常伟思,吴岳,0.654712119
白蓉,罗辑,9.775893023
坎特,罗辑,15.63141876
坎特,史强,8.503391201
坎特,萨伊,0.005071131
坎特,庄颜,0.706274209
坎特,张翔,1.13711565
坎特,伽尔宁,0.999844037
萨伊,坎特,0.005071131
萨伊,罗辑,14.83741061
萨伊,1379号监听员,0.999990657
萨伊,程心,0.999990657
艾AA,罗辑,0.358072046
艾AA,艾伦,0.958480977
艾AA,赵鑫,0.957660709
艾AA,程心,6.07666166
艾AA,于维民,0.184395108
艾AA,乔依娜,0.577770138
伽尔宁,罗辑,5.706649128
伽尔宁,坎特,0.999844037
秦始皇,周文王,0.952152655
秦始皇,牛顿,1.404283964
秦始皇,孔子,0.952152655
秦始皇,爱因斯坦,0.952152655
秦始皇,罗辑,0.423477282
秦始皇,智子,0.452131309
孔子,周文王,0.952152655
孔子,牛顿,0.952152655
孔子,秦始皇,0.952152655
孔子,爱因斯坦,0.952152655
爱因斯坦,周文王,0.952152655
爱因斯坦,牛顿,0.952152655
爱因斯坦,秦始皇,0.952152655
爱因斯坦,孔子,0.952152655
爱因斯坦,罗辑,0.998966439
爱因斯坦,丁仪,0.477919079
艾伦,艾AA,0.958480977
丁仪,智子,1.999989658
丁仪,西子,6.231025337
丁仪,爱因斯坦,0.477919079
史晓明,史强,1.950044078
史晓明,罗辑,2.789457473
史晓明,张延,0.63375381
庄颜,罗辑,50.85476341
庄颜,智子,2.994264764
庄颜,史强,1.953949125
庄颜,坎特,0.706274209
杨冬,智子,0.999999998
杨冬,罗辑,0.99807784
张翔,史强,0.798689693
张翔,罗辑,1.527507996
张翔,坎特,1.13711565
A·J·霍普金斯,1379号监听员,8.170081778
A·J·霍普金斯,罗辑,0.638676513
张卫明,张延,0.065853371
张延,张卫明,0.065853371
张延,史晓明,0.63375381
熊文,罗辑,6.383695962
西子,丁仪,6.231025337
赵鑫,李维,6.874903673
赵鑫,1379号监听员,0.344330108
赵鑫,艾AA,0.957660709
李维,赵鑫,6.874903673
蓝西,斯科特,3.98327971
斯科特,蓝西,3.98327971
郭正明,史强,0.767292419
胡文,程心,4.132538507
程心,胡文,4.132538507
程心,艾AA,6.07666166
程心,于维民,1.954560337
程心,柯曼琳,5.881351182
程心,1379号监听员,0.999990657
程心,萨伊,0.999990657
于维民,程心,1.954560337
于维民,艾AA,0.184395108
柯曼琳,程心,5.881351182
乔依娜,艾AA,0.577770138
