Person1,Person2,realtionships
斯科特,1379号监听员,1.182643419
1379号监听员,斯科特,1.182643419
1379号监听员,琼斯,0.999999971
1379号监听员,罗辑,1.096031143
1379号监听员,A·J·霍普金斯,0.997143071
1379号监听员,程心,1.09959953
1379号监听员,智子,0.250369151
艾AA,白Ice,6.130020692
艾AA,程心,16.86532442
艾AA,智子,2.831347927
艾AA,A·J·霍普金斯,0.13599386
艾AA,艾克,0.984988914
白Ice,艾AA,6.130020692
白Ice,智子,1.155909978
白Ice,艾克,0.984988914
琼斯,1379号监听员,0.999999971
程心,艾AA,16.86532442
程心,1379号监听员,1.09959953
程心,智子,6.409727216
程心,毕云峰,0.371981758
程心,罗辑,7.27857411
罗辑,1379号监听员,1.096031143
罗辑,A·J·霍普金斯,0.997143071
罗辑,程心,7.27857411
罗辑,庄颜,3.995143423
A·J·霍普金斯,罗辑,0.997143071
A·J·霍普金斯,1379号监听员,0.997143071
A·J·霍普金斯,艾AA,0.13599386
智子,艾AA,2.831347927
智子,白Ice,1.155909978
智子,程心,6.409727216
智子,1379号监听员,0.250369151
智子,戴文,0.994353846
智子,朴义君,0.994353846
毕云峰,程心,0.371981758
曹彬,伊万,0.999663361
伊万,曹彬,0.999663361
韦斯特,戴文,0.990041213
韦斯特,艾克,0.924716293
韦斯特,关一帆,6.514251752
戴文,韦斯特,0.990041213
戴文,智子,0.994353846
戴文,朴义君,0.994353846
朴义君,智子,0.994353846
朴义君,戴文,0.994353846
艾克,艾AA,0.984988914
艾克,白Ice,0.984988914
艾克,韦斯特,0.924716293
艾克,刘晓明,1.999876326
刘晓明,艾克,1.999876326
关一帆,韦斯特,6.514251752
庄颜,罗辑,3.995143423
