Person1,Person2,realtionships
1379号监听员,程心,2.611426517
1379号监听员,艾AA,1.851544262
1379号监听员,罗辑,3.078453999
1379号监听员,智子,4.374767426
1379号监听员,白Ice,0.998410774
1379号监听员,弗雷斯,0.847513762
1379号监听员,杰森,0.847513762
程心,1379号监听员,2.611426517
程心,艾AA,43.51610822
程心,弗雷斯,5.889137778
程心,罗辑,11.46407321
程心,智子,16.04372323
程心,毕云峰,1.166022159
程心,曹彬,1.166022159
程心,白Ice,5.74629517
程心,杰森,2.462541839
程心,巴勒莫,0.4432393
艾AA,1379号监听员,1.851544262
艾AA,程心,43.51610822
艾AA,弗雷斯,1.985026417
艾AA,白Ice,5.451638469
艾AA,智子,0.654293708
艾AA,毕云峰,0.916440394
艾AA,曹彬,0.916440394
艾AA,巴勒莫,0.916440394
艾AA,杰森,2.474864765
罗辑,1379号监听员,3.078453999
罗辑,程心,11.46407321
罗辑,智子,10.05349471
罗辑,弗雷斯,0.999887198
弗雷斯,程心,5.889137778
弗雷斯,艾AA,1.985026417
弗雷斯,罗辑,0.999887198
弗雷斯,1379号监听员,0.847513762
弗雷斯,杰森,0.847513762
智子,1379号监听员,4.374767426
智子,程心,16.04372323
智子,罗辑,10.05349471
智子,白Ice,1.399345064
智子,艾AA,0.654293708
白Ice,艾AA,5.451638469
白Ice,1379号监听员,0.998410774
白Ice,智子,1.399345064
白Ice,程心,5.74629517
白Ice,巴勒莫,4.392153066
白Ice,毕云峰,0.473201095
白Ice,曹彬,0.473201095
白Ice,杰森,0.013609714
毕云峰,程心,1.166022159
毕云峰,曹彬,1.639223254
毕云峰,艾AA,0.916440394
毕云峰,白Ice,0.473201095
毕云峰,巴勒莫,0.916440394
毕云峰,杰森,0.459472041
曹彬,程心,1.166022159
曹彬,毕云峰,1.639223254
曹彬,艾AA,0.916440394
曹彬,白Ice,0.473201095
曹彬,巴勒莫,0.916440394
曹彬,杰森,0.4432393
巴勒莫,白Ice,4.392153066
巴勒莫,毕云峰,0.916440394
巴勒莫,艾AA,0.916440394
巴勒莫,曹彬,0.916440394
巴勒莫,程心,0.4432393
巴勒莫,杰森,0.4432393
杰森,1379号监听员,0.847513762
杰森,程心,2.462541839
杰森,弗雷斯,0.847513762
杰森,艾AA,2.474864765
杰森,白Ice,0.013609714
杰森,毕云峰,0.459472041
杰森,曹彬,0.4432393
杰森,巴勒莫,0.4432393
