Person1,Person2,realtionships
程心,曹彬,29.06978685
程心,布莱尔,0.996001843
程心,毕云峰,3.146107365
程心,智子,1.785791947
程心,艾AA,51.07333695
程心,白Ice,10.52017199
程心,罗辑,10.76695053
程心,萨伊,1.749405967
曹彬,程心,29.06978685
曹彬,艾AA,0.00731596
曹彬,白Ice,0.00731596
曹彬,毕云峰,1.310341117
艾AA,曹彬,0.00731596
艾AA,白Ice,21.46180786
艾AA,程心,51.07333695
艾AA,罗辑,7.10697721
艾AA,萨伊,0.65129724
白Ice,曹彬,0.00731596
白Ice,艾AA,21.46180786
白Ice,程心,10.52017199
白Ice,萨伊,0.65129724
白Ice,罗辑,1.535662204
布莱尔,程心,0.996001843
毕云峰,程心,3.146107365
毕云峰,曹彬,1.310341117
智子,程心,1.785791947
智子,丁仪,0.996162678
丁仪,智子,0.996162678
罗辑,程心,10.76695053
罗辑,艾AA,7.10697721
罗辑,白Ice,1.535662204
萨伊,程心,1.749405967
萨伊,艾AA,0.65129724
萨伊,白Ice,0.65129724
